ids,label,phaidra
"['https://www.wikidata.org/wiki/Q173441#:~:text=VIAF%20ID-,210905324,-edit', 'https://www.wikidata.org/wiki/Q173441', 'https://data.cerl.org/thesaurus/cnp00992823']",Muḥammad al-Idrisi,https://pid.phaidra.org/vocabulary/R4HZ-EFDK
[],Paderus,https://pid.phaidra.org/vocabulary/5XRG-HF32
"['https://viaf.org/viaf/41842150/', 'https://data.cerl.org/thesaurus/cnp01160356', 'https://www.wikidata.org/wiki/Q8963']","Kepler, Johannes",https://pid.phaidra.org/vocabulary/2CMT-2T41
"['https://viaf.org/viaf/100902203/', 'https://data.cerl.org/thesaurus/cnp00945273', 'https://www.wikidata.org/wiki/Q342416']",Arnobius,https://pid.phaidra.org/vocabulary/7ZSA-7FFH
[],"Nasson, Jan",https://pid.phaidra.org/vocabulary/JEZ5-FGSC
"['https://data.cerl.org/thesaurus/cnp01302790', 'https://viaf.org/viaf/99214494/', 'https://www.wikidata.org/wiki/Q333372']","Clusius, Carolus",https://pid.phaidra.org/vocabulary/82N7-1A61
[],"Cornelius, Curtius",https://pid.phaidra.org/vocabulary/TKN7-MA7G
[],Lorenus,https://pid.phaidra.org/vocabulary/6RYT-BVW8
[],"De Armatis, Marco Antonio",https://pid.phaidra.org/vocabulary/DRVJ-YS22
"['https://www.wikidata.org/wiki/Q3173610', 'https://data.cerl.org/thesaurus/cnp01095283', 'https://viaf.org/viaf/39400456/']","Morin, Jean",https://pid.phaidra.org/vocabulary/HZ5Q-PRHR
"['https://www.wikidata.org/wiki/Q221465', 'http://viaf.org/viaf/267516275', 'https://data.cerl.org/thesaurus/cnp00970100']",Hydatius,https://pid.phaidra.org/vocabulary/71BH-R944
"['https://www.wikidata.org/wiki/Q169234', 'https://viaf.org/viaf/95154093/', 'https://data.cerl.org/thesaurus/cnp01318268']",Razi,https://pid.phaidra.org/vocabulary/5VBH-DP8J
"['https://data.cerl.org/thesaurus/cnp01302093', 'https://viaf.org/viaf/76319978/', 'https://www.wikidata.org/wiki/Q76325']","Melanchton, Philipp",https://pid.phaidra.org/vocabulary/R4G6-9PX7
